Word,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
oppose,2.2534498470744995e-05,0.00241841004476113,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,0.0008211863458293702,0.009780300877069076,2.319107429487962e-05,1.3393795945639651e-05
mandates,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,0.005467254757603618,0.00912000949757083,2.319107429487962e-05,0.0206049494446787
government,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,0.0005146983515320145,0.003083569399830924,0.0006630501038306912,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,0.03477548236423694
overreach,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,0.0024489541414947115
lives,2.2534498470744995e-05,0.0008958407093109021,0.0031332037664229626,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,0.0031442205517164946,7.98846049502235e-06,2.319107429487962e-05,0.0015632958340223218
america,2.2534498470744995e-05,0.0016571253770360159,0.0002544113451727036,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,0.003918565287012203,7.98846049502235e-06,2.319107429487962e-05,0.003998856179571394
communist,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,0.00014004673639467173,2.319107429487962e-05,0.0015632958340223218
russia,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,0.0002348083728137371
stop,0.024608901696359962,0.00647859493929507,1.4511976735181967e-05,2.935910935103417e-05,0.00664515912460607,3.782129949636918e-05,0.0008211863458293702,0.01783585570694769,2.319107429487962e-05,0.0017847104108904192
madness,0.011570676667176285,7.675263631602553e-06,1.4511976735181967e-05,2.935910935103417e-05,0.0005395767392772483,3.782129949636918e-05,4.684161053366233e-05,0.003441503633885906,2.319107429487962e-05,1.3393795945639651e-05
government_overreach,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,0.0008990521034180296
vaccines,2.2534498470744995e-05,0.023353738407201764,0.012969077872361349,0.01119216167951358,0.0015571738034987185,0.0094162533645112,4.684161053366233e-05,0.025231119157328057,2.319107429487962e-05,0.011084122639350512
law,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,0.002369875816420786,7.98846049502235e-06,2.319107429487962e-05,0.0028917832952309063
firmly,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,0.01022148319515162,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,1.3393795945639651e-05
approval,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,0.023810981976219066,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,0.005686494324179945,0.0004065657294678988,1.3393795945639651e-05
based,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,0.007794786984246719,3.077820716651322e-05,3.782129949636918e-05,0.0008211863458293702,7.98846049502235e-06,2.319107429487962e-05,0.0015632958340223218
benefits,2.2534498470744995e-05,0.0040678601581655436,1.4511976735181967e-05,0.016045554101323384,0.0005395767392772483,0.0012882789081650134,4.684161053366233e-05,7.98846049502235e-06,0.0004065657294678988,1.3393795945639651e-05
outweigh,2.2534498470744995e-05,0.003814098602257172,1.4511976735181967e-05,0.016530893343504362,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,1.3393795945639651e-05
risks,2.2534498470744995e-05,0.008001164274745298,1.4511976735181967e-05,0.01264817940605652,3.077820716651322e-05,0.011917168581848488,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,0.0020061249877585167
covid-19_vaccines,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,0.009736143952970639,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,0.00014004673639467173,2.319107429487962e-05,1.3393795945639651e-05
